;OPER_DATE;CREDIT_ACCOUNT_RK;DEBET_ACCOUNT_RK;CREDIT_AMOUNT;DEBET_AMOUNT
1;2018-01-09;13630;17436;94333.93;18337.76
2;2018-01-09;15698716;13630;68294.14;31542.06
3;2018-01-09;12048338;13630;2192.96;98734.33
4;2018-01-09;393808409;17244;44179.86;98544.65
5;2018-01-09;409685020;13630;18843.05;889.74
6;2018-01-09;10006159;13630;82792.29;15395.98
7;2018-01-09;393808409;17132;9587.62;40751.1
8;2018-01-09;23463;13631;36873.02;78441.61
9;2018-01-09;393808409;17436;34865.7;93870.21
10;2018-01-09;15698716;13630;29712.22;79306.55
11;2018-01-09;409685020;13630;61573.19;27216.17
12;2018-01-09;13985;13630;15621.88;73817.74
13;2018-01-09;1761691;13630;15780.77;55820.18
14;2018-01-09;528641685;13630;77475.62;4541.71
15;2018-01-09;1761691;13630;66496.82;84101.88
16;2018-01-09;13985;13630;33174.22;53938.02
17;2018-01-09;30277;17436;36271.26;75077.55
18;2018-01-09;13630;36213979;35494.01;87183.62
19;2018-01-09;6093814;13630;72657.06;24602.67
20;2018-01-09;409685020;13630;64138.13;5747.71
21;2018-01-09;13985;13630;8594.73;17336.19
22;2018-01-09;409685020;13630;95735.51;15342.24
23;2018-01-09;409685020;13630;48750.93;28825.91
24;2018-01-09;15698716;13630;12485.7;52036.04
25;2018-01-09;13985;13630;47352.17;39848.02
26;2018-01-09;1761691;13630;31978.52;67818.26
27;2018-01-09;409684688;13632;25755.49;74588.45
28;2018-01-09;528641685;13630;77636.5;10114.7
29;2018-01-09;13630;17436;74157.95;45769.76
30;2018-01-09;1761691;13630;36083.77;68689.78
31;2018-01-09;15565;13630;82836.21;77354.08
32;2018-01-09;10006159;13630;52482.67;55114.31
33;2018-01-09;409685020;13630;75967.28;18286.3
34;2018-01-09;409685020;13630;2579.6;82244.68
35;2018-01-09;10006159;13630;65353.77;1011.15
36;2018-01-09;17439;17436;84189.32;43460.43
37;2018-01-09;38622964;13630;11206.4;25447.74
38;2018-01-09;1648686;13630;94648.79;10324.13
39;2018-01-09;409685020;13630;56042.08;28107.58
40;2018-01-09;13630;17436;25853.78;63132.94
41;2018-01-09;393808409;17436;95668.21;9454.14
42;2018-01-09;30277;17436;72359.97;92252.31
43;2018-01-09;434141714;13630;58690.34;10810.72
44;2018-01-09;393808409;17436;64052.72;10429.21
45;2018-01-09;10006159;13630;20847.3;71577.78
46;2018-01-09;409685020;13630;55873.4;55493.27
47;2018-01-09;311159924;13630;1956.75;16620.79
48;2018-01-09;13685;13632;60862.03;84562.01
49;2018-01-09;528641685;13630;35622.49;98315.12
50;2018-01-09;13630;17436;97586.91;14104.7
51;2018-01-09;409685020;13630;29837.06;96675.02
52;2018-01-09;13630;17436;95496.48;58558.57
53;2018-01-09;393808409;17436;65295.76;26627.31
54;2018-01-09;10006159;13630;78142.38;81797.57
55;2018-01-09;393808409;17434;2696.03;3490.28
56;2018-01-09;409685020;13630;73247.64;69826.16
57;2018-01-09;30277;13630;55223.89;8443.74
58;2018-01-09;17436;13630;60942.09;41526.55
59;2018-01-09;409685106;13631;88164.8;16535.39
60;2018-01-09;10006159;13630;65543.53;96814.58
61;2018-01-09;1235426;17436;89864.08;58453
62;2018-01-09;409685020;13630;37737.94;67310.52
63;2018-01-09;8736635;13630;17631.94;45051.35
64;2018-01-09;13985;13630;28022.45;46828.89
65;2018-01-09;6093814;13630;23762.85;92235.7
66;2018-01-09;61214435;13631;24428.83;85879.13
67;2018-01-09;17436;13630;24782.6;21350.26
68;2018-01-09;13630;17436;21691.51;60963.97
69;2018-01-09;393808409;17434;36081.44;50502.35
70;2018-01-09;528641685;13630;74049.88;61386.37
71;2018-01-09;393808409;17436;14301;37300.36
72;2018-01-09;393808409;17436;80255.37;76071.19
73;2018-01-09;10006159;13630;80021.52;16815.49
74;2018-01-09;529813296;13631;97019.81;90121.56
75;2018-01-09;10006159;13630;33156.18;26405.56
76;2018-01-09;1761691;13630;81376.6;25486.57
77;2018-01-09;14548;13630;56768.12;35324.86
78;2018-01-09;37051;13630;81415.23;47469
79;2018-01-09;13630;17436;41726.37;23518.92
80;2018-01-09;10006159;13630;5387.46;89058.61
81;2018-01-09;409684688;13632;18863.01;2571.21
82;2018-01-09;393808409;17436;67676.7;27478.63
83;2018-01-09;311161703;13632;24840.54;94939.15
84;2018-01-09;17436;17434;30790.12;91305.33
85;2018-01-09;409685020;13630;58946.09;34991.98
86;2018-01-09;13630;17434;2912.91;2465.81
87;2018-01-09;10006159;13630;53835.75;45798.9
88;2018-01-09;393808409;17436;72885.78;69885.59
89;2018-01-09;17434;17436;75268.49;34757.76
90;2018-01-09;13985;13630;57432.08;50788.12
91;2018-01-09;1761691;13630;71456.9;9399.05
92;2018-01-09;1761691;13630;72315.46;80530.97
93;2018-01-09;529813078;17436;27560.56;5844.06
94;2018-01-09;1761691;13630;33348.13;66508.96
95;2018-01-09;393808409;17436;44869.18;27078.97
96;2018-01-09;1761691;13630;50022.58;54944.45
97;2018-01-09;409685020;13630;53073.56;41726.58
98;2018-01-09;10006159;13630;88865;39141.54
99;2018-01-09;311159924;13630;32239.52;11045.49
100;2018-01-09;529751991;13630;67376.53;38967.6
101;2018-01-09;1761691;13630;51807.47;99932.73
102;2018-01-09;37051;13630;92587.36;86991.94
103;2018-01-09;17436;13630;72204.45;54262.38
104;2018-01-09;1761691;13630;95372.16;32036.61
105;2018-01-09;17436;13630;70082.62;38847.3
106;2018-01-09;13630;17436;98257.12;13183.27
107;2018-01-09;10006159;13630;32917.97;77702.92
108;2018-01-09;409685020;13630;69589.58;46423.57
109;2018-01-09;393808409;17436;8415.27;1024.83
110;2018-01-09;528787381;13630;93987.59;69709.72
111;2018-01-09;393808409;17436;22018.12;80812.7
112;2018-01-09;10006159;13630;46249.78;12019.65
113;2018-01-09;409685020;13630;76718.56;91777.91
114;2018-01-09;8736635;13630;41607.35;86075.27
115;2018-01-09;17437;17436;56844.39;40262.3
116;2018-01-09;10006159;13630;8853.2;27075.96
117;2018-01-09;528641685;13630;34690.49;50019.44
118;2018-01-09;393808409;17436;37780.06;43661.36
119;2018-01-09;17436;30277;63661.42;67687.62
120;2018-01-09;434141714;13630;12567.59;97643.18
121;2018-01-09;409685020;13630;44691.36;31605.25
122;2018-01-09;409685020;13630;79692.23;77787.15
123;2018-01-09;1761691;13630;4781.88;19612.16
124;2018-01-09;409685020;13630;1368.02;61488.83
125;2018-01-09;1761691;13630;42751.41;82852.59
126;2018-01-09;13630;17436;8851.26;54257.63
127;2018-01-09;393808409;17434;91858.19;13626.31
128;2018-01-09;10006159;13630;50987.25;28526.03
129;2018-01-09;10006159;13630;91710.63;34194.72
130;2018-01-09;8736635;13630;73067.21;29048.84
131;2018-01-09;409685020;13630;94524.68;4225.36
132;2018-01-09;529686807;312741916;59112.58;4773.1
133;2018-01-09;48182547;13630;88866.75;36037.18
134;2018-01-09;311159924;13630;56844.63;96579.39
135;2018-01-09;409685020;13630;45390.54;82157.17
136;2018-01-09;1761691;13630;44066.75;53106.63
137;2018-01-09;311161686;13630;32630.08;73679.82
138;2018-01-09;528641685;13630;47496.86;26800
139;2018-01-09;17436;17244;424.86;47617.8
140;2018-01-09;393808409;17436;73508.48;19469.98
141;2018-01-09;409685020;13630;74630.49;50458.61
142;2018-01-09;1761691;13630;40332.9;48702.58
143;2018-01-09;13630;17436;53888.61;59840.45
144;2018-01-09;10006159;13630;55601.99;26401.12
145;2018-01-09;37051;13630;84214.16;10847.26
146;2018-01-09;528641685;13630;72710.19;58186.1
147;2018-01-09;409685020;13630;71912.98;71680.16
148;2018-01-09;4243715;13630;2416.28;33558.11
149;2018-01-09;311159924;13630;67642.42;36536.86
150;2018-01-09;1761691;13630;74366.54;50172.42
151;2018-01-09;1761691;13630;1769.33;45434.77
152;2018-01-09;1761691;13630;14595.46;75381.49
153;2018-01-09;15698716;13630;56532.41;56348.12
154;2018-01-09;17436;13630;81057.63;92283.05
155;2018-01-09;8736635;13630;61244.11;24495.73
156;2018-01-09;393808409;17436;47996;66341.13
157;2018-01-09;1761691;13630;84653.33;13400.11
158;2018-01-09;409685020;13630;77751.42;48413.29
159;2018-01-09;409685020;13630;64065.81;14714.57
160;2018-01-09;13630;17436;31174.22;73080.9
161;2018-01-09;393808409;1235426;46884.44;29554.82
162;2018-01-09;17436;13630;54765.49;17303.52
163;2018-01-09;528641685;13630;53837.33;46483.03
164;2018-01-09;13688;13632;86664.74;272.5
165;2018-01-09;311159924;13630;10216.68;21863.4
166;2018-01-09;1761691;13630;76972.42;2194.19
167;2018-01-09;4243715;13630;93052.57;88103.94
168;2018-01-09;393808409;17436;94851.47;31162.9
169;2018-01-09;13630;17436;6806.73;21390.54
170;2018-01-09;46179628;13630;40985.63;15132.72
171;2018-01-09;409685020;13630;84336.19;3597.99
172;2018-01-09;13630;36213979;92742.25;68867.48
173;2018-01-09;10006159;13630;24247.38;50461.61
174;2018-01-09;1761691;13630;6599.39;35978.8
175;2018-01-09;409685020;13630;86394.73;33590.51
176;2018-01-09;311159924;13630;6639.01;14526.86
177;2018-01-09;1761691;13630;66091.68;29132.03
178;2018-01-09;311159924;13630;67475.94;55606.67
179;2018-01-09;311159924;13630;91917.8;1260.2
