   ;CURRENCY_RK;DATA_ACTUAL_DATE;DATA_ACTUAL_END_DATE;CURRENCY_CODE;CODE_ISO_CHAR
1;4586704;2011-09-06;2050-12-31;000;NON
2;50;2017-05-11;2050-12-31;356;INR
3;51;2017-05-11;2050-12-31;484;MXN
4;52;2017-05-11;2050-12-31;434;LYD
5;53;2017-05-11;2050-12-31;422;LBR
6;54;2017-05-11;2050-12-31;504;MAD
7;55;2017-05-11;2050-12-31;410;KRW
8;56;2017-05-11;2050-12-31;012;DZD
9;57;2017-05-11;2050-12-31;417;KGS
10;58;2017-05-11;2050-12-31;100;BGN
11;59;2017-05-11;2050-12-31;344;HKD
12;60;2017-05-11;2050-12-31;048;BHD
13;61;2017-05-11;2050-12-31;446;MOP
14;62;2017-05-11;2050-12-31;156;CNY
15;63;2017-05-11;2050-12-31;496;MNT
16;205699733;2017-05-11;2050-12-31;203;CZK
17;205699734;2017-05-11;2050-12-31;348;HUF
18;409611215;2017-05-11;2050-12-31;972;TJS
19;427870281;2017-05-11;2050-12-31;933;BYN
20;21;2017-05-11;2050-12-31;949;TRY
21;22;2017-05-11;2050-12-31;788;TND
22;23;2017-05-11;2050-12-31;292;GIB
23;24;2017-05-11;2050-12-31;784;AED
24;25;2017-05-11;2050-12-31;986;BRL
25;26;2017-05-11;2050-12-31;   ;   
26;27;2017-05-11;2050-12-31;586;PKR
27;28;2017-05-11;2050-12-31;398;KZT
28;29;2017-05-11;2050-12-31;752;SEK
29;30;2017-05-11;2050-12-31;756;CHF
30;31;2017-05-11;2050-12-31;826;GBP
31;32;2017-05-11;2050-12-31;280;DEM
32;33;2017-05-11;2050-12-31;999;˜’.
33;34;2017-05-11;2050-12-31;643;RUB
34;35;2017-05-11;2050-12-31;840;USD
35;36;2017-05-11;2050-12-31;985;PLN
36;37;2017-05-11;2050-12-31;392;JPY
37;38;2017-05-11;2050-12-31;974;BYR
38;39;2017-05-11;2050-12-31;036;AUD
39;40;2017-05-11;2050-12-31;578;NOK
40;41;2017-05-11;2050-12-31;980;UAH
41;42;2017-05-11;2050-12-31;124;CAD
42;43;2017-05-11;2050-12-31;208;DKK
43;44;2017-05-11;2050-12-31;978;EUR
44;45;2017-05-11;2050-12-31;196;CYP
45;46;2017-05-11;2050-12-31;044;BHS
46;47;2017-05-11;2050-12-31;376;ILS
47;48;2017-05-11;2050-12-31;084;BZD
48;49;2017-05-11;2050-12-31;690;SCR
49;529511970;2017-12-12;2050-12-31;944;AZN
50;529511969;2017-12-12;2050-12-31;051;AMD
