   ;DATA_ACTUAL_DATE;DATA_ACTUAL_END_DATE;CURRENCY_RK;REDUCED_COURCE;CODE_ISO_NUM
1;2018-01-31;2018-01-31;427870281;28.3798;933
2;2018-01-31;2018-01-31;29;7.11613;752
3;2018-01-31;2018-01-31;529511970;33.0543;944
4;2018-01-31;2018-01-31;62;8.87555;156
5;2018-01-31;2018-01-31;205699733;2.74512;203
6;2018-01-31;2018-01-31;205699734;.224063;348
7;2018-01-31;2018-01-31;409611215;6.37718;972
8;2018-01-31;2018-01-31;55;.0524955;410
9;2018-01-31;2018-01-31;57;.822974;417
10;2018-01-31;2018-01-31;58;35.542;100
11;2018-01-31;2018-01-31;59;7.19949;344
12;2018-01-31;2018-01-31;42;45.499;124
13;2018-01-31;2018-01-31;43;9.34034;208
14;2018-01-31;2018-01-31;44;69.5424;978
15;2018-01-31;2018-01-31;50;.882968;356
16;2018-01-31;2018-01-31;37;.517551;392
17;2018-01-31;2018-01-31;39;45.3371;036
18;2018-01-31;2018-01-31;40;7.27223;578
19;2018-01-31;2018-01-31;41;2.01041;980
20;2018-01-31;2018-01-31;30;60.0762;756
21;2018-01-31;2018-01-31;31;78.8417;826
22;2018-01-31;2018-01-31;35;56.2914;840
23;2018-01-31;2018-01-31;36;16.7534;985
24;2018-01-31;2018-01-31;21;14.8467;949
25;2018-01-31;2018-01-31;25;17.842;986
26;2018-01-31;2018-01-31;28;.174425;398
27;2018-01-31;2018-01-31;529511969;.117274;051
28;2016-07-01;2050-12-31;38;31.8884;974
29;2018-01-30;2018-01-30;427870281;28.4182;933
30;2018-01-30;2018-01-30;29;7.14142;752
31;2018-01-30;2018-01-30;529511970;33.0539;944
32;2018-01-30;2018-01-30;62;8.89692;156
33;2018-01-30;2018-01-30;205699733;2.7551;203
34;2018-01-30;2018-01-30;205699734;.225542;348
35;2018-01-30;2018-01-30;409611215;6.38196;972
36;2018-01-30;2018-01-30;55;.0526451;410
37;2018-01-30;2018-01-30;57;.824774;417
38;2018-01-30;2018-01-30;58;35.6949;100
39;2018-01-30;2018-01-30;59;7.19932;344
40;2018-01-30;2018-01-30;42;45.5759;124
41;2018-01-30;2018-01-30;43;9.37883;208
42;2018-01-30;2018-01-30;44;69.8513;978
43;2018-01-30;2018-01-30;50;.885702;356
44;2018-01-30;2018-01-30;37;.516595;392
45;2018-01-30;2018-01-30;39;45.5055;036
46;2018-01-30;2018-01-30;40;7.30869;578
47;2018-01-30;2018-01-30;41;1.99224;980
48;2018-01-30;2018-01-30;30;60.0179;756
49;2018-01-30;2018-01-30;31;79.522;826
50;2018-01-30;2018-01-30;35;56.2908;840
51;2018-01-30;2018-01-30;36;16.8339;985
52;2018-01-30;2018-01-30;21;14.8878;949
53;2018-01-30;2018-01-30;25;17.8508;986
54;2018-01-30;2018-01-30;28;.174626;398
55;2018-01-30;2018-01-30;529511969;.117248;051
56;2016-07-01;2050-12-31;38;31.8884;974
57;2018-01-27;2018-01-29;427870281;28.3395;933
58;2018-01-27;2018-01-29;29;7.08973;752
59;2018-01-27;2018-01-29;529511970;32.7826;944
60;2018-01-27;2018-01-29;62;8.83381;156
61;2018-01-27;2018-01-29;205699733;2.74383;203
62;2018-01-27;2018-01-29;205699734;.224745;348
63;2018-01-27;2018-01-29;409611215;6.3298;972
64;2018-01-27;2018-01-29;55;.0524722;410
65;2018-01-27;2018-01-29;57;.817166;417
66;2018-01-27;2018-01-29;58;35.5733;100
67;2018-01-27;2018-01-29;59;7.14005;344
68;2018-01-27;2018-01-29;42;45.3266;124
69;2018-01-27;2018-01-29;43;9.34655;208
70;2018-01-27;2018-01-29;44;69.6073;978
71;2018-01-27;2018-01-29;50;.878502;356
72;2018-01-27;2018-01-29;37;.512308;392
73;2018-01-27;2018-01-29;39;45.1488;036
74;2018-01-27;2018-01-29;40;7.26559;578
75;2018-01-27;2018-01-29;41;1.95479;980
76;2018-01-27;2018-01-29;30;59.6844;756
77;2018-01-27;2018-01-29;31;79.4555;826
78;2018-01-27;2018-01-29;35;55.8288;840
79;2018-01-27;2018-01-29;36;16.8012;985
80;2018-01-27;2018-01-29;21;14.9391;949
81;2018-01-27;2018-01-29;25;17.7319;986
82;2018-01-27;2018-01-29;28;.174193;398
83;2018-01-27;2018-01-29;529511969;.116165;051
84;2016-07-01;2050-12-31;38;31.8884;974
85;2018-01-27;2018-01-29;427870281;28.3395;933
86;2018-01-27;2018-01-29;29;7.08973;752
87;2018-01-27;2018-01-29;529511970;32.7826;944
88;2018-01-27;2018-01-29;62;8.83381;156
89;2018-01-27;2018-01-29;205699733;2.74383;203
90;2018-01-27;2018-01-29;205699734;.224745;348
91;2018-01-27;2018-01-29;409611215;6.3298;972
92;2018-01-27;2018-01-29;55;.0524722;410
93;2018-01-27;2018-01-29;57;.817166;417
94;2018-01-27;2018-01-29;58;35.5733;100
95;2018-01-27;2018-01-29;59;7.14005;344
96;2018-01-27;2018-01-29;42;45.3266;124
97;2018-01-27;2018-01-29;43;9.34655;208
98;2018-01-27;2018-01-29;44;69.6073;978
99;2018-01-27;2018-01-29;50;.878502;356
100;2018-01-27;2018-01-29;37;.512308;392
101;2018-01-27;2018-01-29;39;45.1488;036
102;2018-01-27;2018-01-29;40;7.26559;578
103;2018-01-27;2018-01-29;41;1.95479;980
104;2018-01-27;2018-01-29;30;59.6844;756
105;2018-01-27;2018-01-29;31;79.4555;826
106;2018-01-27;2018-01-29;35;55.8288;840
107;2018-01-27;2018-01-29;36;16.8012;985
108;2018-01-27;2018-01-29;21;14.9391;949
109;2018-01-27;2018-01-29;25;17.7319;986
110;2018-01-27;2018-01-29;28;.174193;398
111;2018-01-27;2018-01-29;529511969;.116165;051
112;2016-07-01;2050-12-31;38;31.8884;974
113;2018-01-27;2018-01-29;427870281;28.3395;933
114;2018-01-27;2018-01-29;29;7.08973;752
115;2018-01-27;2018-01-29;529511970;32.7826;944
116;2018-01-27;2018-01-29;62;8.83381;156
117;2018-01-27;2018-01-29;205699733;2.74383;203
118;2018-01-27;2018-01-29;205699734;.224745;348
119;2018-01-27;2018-01-29;409611215;6.3298;972
120;2018-01-27;2018-01-29;55;.0524722;410
121;2018-01-27;2018-01-29;57;.817166;417
122;2018-01-27;2018-01-29;58;35.5733;100
123;2018-01-27;2018-01-29;59;7.14005;344
124;2018-01-27;2018-01-29;42;45.3266;124
125;2018-01-27;2018-01-29;43;9.34655;208
126;2018-01-27;2018-01-29;44;69.6073;978
127;2018-01-27;2018-01-29;50;.878502;356
128;2018-01-27;2018-01-29;37;.512308;392
129;2018-01-27;2018-01-29;39;45.1488;036
130;2018-01-27;2018-01-29;40;7.26559;578
131;2018-01-27;2018-01-29;41;1.95479;980
132;2018-01-27;2018-01-29;30;59.6844;756
133;2018-01-27;2018-01-29;31;79.4555;826
134;2018-01-27;2018-01-29;35;55.8288;840
135;2018-01-27;2018-01-29;36;16.8012;985
136;2018-01-27;2018-01-29;21;14.9391;949
137;2018-01-27;2018-01-29;25;17.7319;986
138;2018-01-27;2018-01-29;28;.174193;398
139;2018-01-27;2018-01-29;529511969;.116165;051
140;2016-07-01;2050-12-31;38;31.8884;974
141;2018-01-26;2018-01-26;427870281;28.3471;933
142;2018-01-26;2018-01-26;29;7.06707;752
143;2018-01-26;2018-01-26;529511970;32.8413;944
144;2018-01-26;2018-01-26;62;8.8344;156
145;2018-01-26;2018-01-26;205699733;2.73277;203
146;2018-01-26;2018-01-26;205699734;.224226;348
147;2018-01-26;2018-01-26;409611215;6.34473;972
148;2018-01-26;2018-01-26;55;.0526805;410
149;2018-01-26;2018-01-26;57;.816717;417
150;2018-01-26;2018-01-26;58;35.4676;100
151;2018-01-26;2018-01-26;59;7.15458;344
152;2018-01-26;2018-01-26;42;45.3894;124
153;2018-01-26;2018-01-26;43;9.31789;208
154;2018-01-26;2018-01-26;44;69.458;978
155;2018-01-26;2018-01-26;50;.879107;356
156;2018-01-26;2018-01-26;37;.512521;392
157;2018-01-26;2018-01-26;39;45.1681;036
158;2018-01-26;2018-01-26;40;7.2323;578
159;2018-01-26;2018-01-26;41;1.94526;980
160;2018-01-26;2018-01-26;30;59.3409;756
161;2018-01-26;2018-01-26;31;79.7097;826
162;2018-01-26;2018-01-26;35;55.9288;840
163;2018-01-26;2018-01-26;36;16.7211;985
164;2018-01-26;2018-01-26;21;14.9255;949
165;2018-01-26;2018-01-26;25;17.7749;986
166;2018-01-26;2018-01-26;28;.174799;398
167;2018-01-26;2018-01-26;529511969;.116397;051
168;2016-07-01;2050-12-31;38;31.8884;974
169;2018-01-25;2018-01-25;427870281;28.4792;933
170;2018-01-25;2018-01-25;29;7.05689;752
171;2018-01-25;2018-01-25;529511970;33.1115;944
172;2018-01-25;2018-01-25;62;8.8273;156
173;2018-01-25;2018-01-25;205699733;2.73812;203
174;2018-01-25;2018-01-25;205699734;.224634;348
175;2018-01-25;2018-01-25;409611215;6.38981;972
176;2018-01-25;2018-01-25;55;.0527481;410
177;2018-01-25;2018-01-25;57;.824398;417
178;2018-01-25;2018-01-25;58;35.5093;100
179;2018-01-25;2018-01-25;59;7.21195;344
180;2018-01-25;2018-01-25;42;45.4675;124
181;2018-01-25;2018-01-25;43;9.33157;208
182;2018-01-25;2018-01-25;44;69.4484;978
183;2018-01-25;2018-01-25;50;.885433;356
184;2018-01-25;2018-01-25;37;.513255;392
185;2018-01-25;2018-01-25;39;45.2577;036
186;2018-01-25;2018-01-25;40;7.2247;578
187;2018-01-25;2018-01-25;41;1.95269;980
188;2018-01-25;2018-01-25;30;59.1822;756
189;2018-01-25;2018-01-25;31;79.2037;826
190;2018-01-25;2018-01-25;35;56.3888;840
191;2018-01-25;2018-01-25;36;16.6584;985
192;2018-01-25;2018-01-25;21;15.033;949
193;2018-01-25;2018-01-25;25;17.4201;986
194;2018-01-25;2018-01-25;28;.175877;398
195;2018-01-25;2018-01-25;529511969;.117354;051
196;2016-07-01;2050-12-31;38;31.8884;974
197;2018-01-24;2018-01-24;427870281;28.5195;933
198;2018-01-24;2018-01-24;29;7.0167;752
199;2018-01-24;2018-01-24;529511970;33.1248;944
200;2018-01-24;2018-01-24;62;8.81003;156
201;2018-01-24;2018-01-24;205699733;2.71496;203
202;2018-01-24;2018-01-24;205699734;.222662;348
203;2018-01-24;2018-01-24;409611215;6.39949;972
204;2018-01-24;2018-01-24;55;.0525012;410
205;2018-01-24;2018-01-24;57;.821128;417
206;2018-01-24;2018-01-24;58;35.2903;100
207;2018-01-24;2018-01-24;59;7.21596;344
208;2018-01-24;2018-01-24;42;45.1689;124
209;2018-01-24;2018-01-24;43;9.27135;208
210;2018-01-24;2018-01-24;44;69.0702;978
211;2018-01-24;2018-01-24;50;.883846;356
212;2018-01-24;2018-01-24;37;.508418;392
213;2018-01-24;2018-01-24;39;44.9261;036
214;2018-01-24;2018-01-24;40;7.16455;578
215;2018-01-24;2018-01-24;41;1.95179;980
216;2018-01-24;2018-01-24;30;58.585;756
217;2018-01-24;2018-01-24;31;78.694;826
218;2018-01-24;2018-01-24;35;56.4115;840
219;2018-01-24;2018-01-24;36;16.5386;985
220;2018-01-24;2018-01-24;21;14.8545;949
221;2018-01-24;2018-01-24;25;17.617;986
222;2018-01-24;2018-01-24;28;.174654;398
223;2018-01-24;2018-01-24;529511969;.117328;051
224;2016-07-01;2050-12-31;38;31.8884;974
225;2018-01-23;2018-01-23;427870281;28.6352;933
226;2018-01-23;2018-01-23;29;7.05287;752
227;2018-01-23;2018-01-23;529511970;33.2508;944
228;2018-01-23;2018-01-23;62;8.84424;156
