   ;CHAPTER;CHAPTER_NAME;SECTION_NUMBER;SECTION_NAME;SUBSECTION_NAME;LEDGER1_ACCOUNT;LEDGER1_ACCOUNT_NAME;LEDGER_ACCOUNT;LEDGER_ACCOUNT_NAME;CHARACTERISTIC;IS_RESIDENT;IS_RESERVE;IS_RESERVED;IS_LOAN;IS_RESERVED_ASSETS;IS_OVERDUE;IS_INTEREST;PAIR_ACCOUNT;START_DATE;END_DATE;IS_RUB_ONLY;MIN_TERM;MIN_TERM_MEASURE;MAX_TERM;MAX_TERM_MEASURE;LEDGER_ACC_FULL_NAME_TRANSLIT;IS_REVALUATION;IS_CORRECT
1;А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;302;Счета кредитных организаций по другим операциям;30204;Обязательные резервы кредитных организаций по счетам в иностранной валюте, депонированные в Банке России;А;1;0;1;0;0;0;0;;2014-01-01;2050-12-31;0;;;;;;;
2;А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;301;Корреспондентские счета;30109;Корреспондентские счета кредитных организаций - корреспондентов;П;1;0;0;0;0;0;0;;2008-01-01;2050-12-31;0;;;;;;;
3;А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;301;Корреспондентские счета;30110;Корреспондентские счета в кредитных организациях - корреспондентах;А;1;0;1;0;1;0;0;;2008-01-01;2050-12-31;0;;;;;;;
4;А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;301;Корреспондентские счета;30111;Корреспондентские счета банков- нерезидентов;П;0;0;0;0;0;0;0;;2008-01-01;2050-12-31;0;;;;;;;
5;А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;301;Корреспондентские счета;30126;Резервы на возможные потери;П;1;1;0;0;0;0;0;;2008-01-01;2050-12-31;1;;;;;;;
6;А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;302;Счета кредитных организаций по другим операциям;30223;Незавершенные переводы и расчеты по банковским счетам клиентов при осуществлении расчетов через подразделения Банка России ;П;1;0;0;0;0;0;0;;2008-01-01;2050-12-31;0;;;;;;;
7;А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;302;Счета кредитных организаций по другим операциям;30236;Незавершенные переводы, поступившие от платежных систем и на корреспондентские счета ;П;1;0;0;0;0;0;0;;2013-01-01;2050-12-31;0;;;;;;;
8;А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;304;Счета для осуществления клиринга;30413;Средства на торговых банковских счетах;А;1;0;1;0;1;0;0;;2013-01-01;2050-12-31;0;;;;;;;
9;А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;304;Счета для осуществления клиринга;30424;Средства в клиринговых организациях, предназначенные для исполнения обязательств, допущенных к клирингу, индивидуального и иного клирингового обеспечения;А;1;0;1;0;1;0;0;;2016-01-01;2050-12-31;0;;;;;;;
10;А;Балансовые счета;3;МЕЖБАНКОВСКИЕ ОПЕРАЦИИ;МЕЖБАНКОВСКИЕ РАСЧЕТЫ;301;Корреспондентские счета;30114;Корреспондентские счета в банках- нерезидентах;А;0;0;1;0;1;0;0;;2008-01-01;2050-12-31;0;;;;;;;
